group,title,url,description,tags,priority,enabled
Online,qially.com Sitemap Details - XML Sitemaps Generator,https://www.xml-sitemaps.com/details-qially.com-eea2d9b99.html,,,137,true
Online,Notification Infrastructure Pricing - Engagespot,https://engagespot.co/pricing,,,138,true
Online,Karbon Sites | AI Website Generator,https://sites.softbridgelabs.in/,,,139,true
Tools,"Open Source ERP: accounting, invoicing and more | LedgerSMB",https://ledgersmb.org/content/open-source-erp-accounting-invoicing-and-more,,,140,true
Tax,TaxAct Professional Pay-Per-Return Editions,https://www.taxact.com/professional/products/federal-taxes/yr/%5B%5BCurrentProfessionalTaxYear_1%5D%5D,,,141,true
Tools,pdf.net: Professional All‑In‑One Online PDF Editor.,https://pdf.net/?afid=gdnuss&utm_source=google&utm_medium=cpc&utm_campaign=21929692730&utm_term=pdf&gad_source=1&gad_campaignid=21929692730&gbraid=0AAAAA-VgBDukMq-Uqt23r94nZk6vySf2w&gclid=Cj0KCQjwk_bPBhDXARIsACiq8R16b_d8AAzAcSruOYSz7EFIBmdSCjibkt9gdRaa3_vb8M8VAzTNi9IaAl1bEALw_wcB,,,142,true
Tools,Open Source Tools | Free Law Project | Making the legal ecosystem more equitable and competitive.,https://free.law/open-source-tools/,,,143,true
Bookmarks bar,QiOS Master Blueprint v0.4 - QiOS Master Blueprint,https://qiallyme.github.io/QiOS_Master_Blueprint_v0.4/,,,144,true
Bookmarks bar,Life Timeline | Interactive Journey,https://qitimeline.pages.dev/,,,145,true
Bookmarks bar,Claim Search Page,https://www.indianaunclaimed.gov/app/claim-search,,,146,true
Bookmarks bar,Self-Hosted Knowledge Graph with Neo4J and Appsmith | Appsmith Community Portal,https://community.appsmith.com/tutorial/self-hosted-knowledge-graph-neo4j-and-appsmith,,,147,true
Bookmarks bar,awesome-selfhosted,https://awesome-selfhosted.net/index.html,,,148,true
Bookmarks bar,Family Wall - Your Family Private Space,https://www.familywall.com/home.php,,,149,true
Bookmarks bar,Overview - qiadmin@qiserver,https://100.121.111.106:9090/system,,,150,true
Bookmarks bar,Family Wall - Your Family Private Space,https://www.familywall.com/document.php?metaId=folder/23129543_3256739,,,151,true
Bookmarks bar,Vaults | Bitwarden Web vault,https://vault.bitwarden.com/#/vault?organizationId=unassigned&folderId=unassigned,,,152,true
Bookmarks bar,The Homelab Wiki,https://thehomelab.wiki/,,,153,true
Bookmarks bar,Wiki.js,https://js.wiki/,,,154,true
Bookmarks bar,Getting Started | flowctl,https://flowctl.net/docs/,,,155,true
Bookmarks bar,www.cargurus.com,https://www.cargurus.com/Cars/finance?px8324=p2&cp=21222466034&gad_source=1&gad_campaignid=21222466034&gbraid=0AAAAAD9Jm5Z6Zm0dYNXxvl5IonKIzgrg7&gclid=CjwKCAjwwdbPBhBgEiwAxBRA4c9UEbTnOHDLCBF6IXT6ievD2zAtOHeNkg_eJlBg2bqsKTxjbsvXPxoCSWgQAvD_BwE,,,156,true
Bookmarks bar,Complete Car Loans – Get The Car & Financing You Deserve,https://stevefaulkner.completecarloans.com/?adset=bhph&source=google&utm_term=buy%20here%20pay%20here&utm_campaign&utm_source=adwords&utm_medium=ppc&hsa_acc=2515868243&hsa_cam=18395723705&hsa_grp=159423653037&hsa_ad=692169091100&hsa_src=g&hsa_tgt=kwd-27962443&hsa_kw=buy%20here%20pay%20here&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=18395723705&gbraid=0AAAAAoX4xZGqDFwg2Ju0EefrUIHbY4r2p&gclid=CjwKCAjwwdbPBhBgEiwAxBRA4T-4H_80SXCj810Yz3pj7xWhqYy0T4fvtwKY2NxPL-IFFYQsfA1CdxoCmFQQAvD_BwE,,,157,true
Bookmarks bar,Get Pre-Qualified Auto Loans | CarZing,https://www.carzing.com/get-financed?utm_source=google&utm_medium=cpc&utm_campaign=10954100112&utm_content=459638047379&utm_term=second%20chance%20car%20loans&gad_source=1&gad_campaignid=10954100112&gbraid=0AAAAADL6d39svya3yMLExIkI-tRlizYMS&gclid=CjwKCAjwwdbPBhBgEiwAxBRA4QNgrsxjhbAmViUfbL46gTG4Zz1uGU2e7lqdqZuid7jfFApT_hqBHxoC7pwQAvD_BwE,,,158,true
Bookmarks bar,Finance Your Next Vehicle Purchase | Carvana,https://www.carvana.com/financing?utm_source=google&utm_medium=sem_nb&utm_campaign=22549307684&utm_content=182322794631&utm_target=kwd-10209651&utm_creative=752559403679&utm_device=c&utm_adposition=&utm_location=9016677&gad_source=1&gad_campaignid=22549307684&gbraid=0AAAAADdUw5o2WiqeLpAOpV34LJr8seG5Q&gclid=CjwKCAjwwdbPBhBgEiwAxBRA4Q8DPatO1lvcWV7B8KipZy8bDFDp55aog_kx60X6BnpIvTtmB0qW_hoCIZUQAvD_BwE,,,159,true
Bookmarks bar,Supabase Auth Email Designer - Supa Tools,https://www.supa-tools.com/auth-emails/template/mfa_method_removed,,,160,true
Bookmarks bar,Get Started Self-Hosting,https://noted.lol/get-started-self-hosting/,,,161,true
Bookmarks bar,Safelite,https://www.safelite.com/fmg/vehicle,,,162,true
Bookmarks bar,What is Open Notebook? | Open Notebook,https://www.open-notebook.ai/,,,163,true
Bookmarks bar,OpenProject Community,https://community.openproject.org/,,,164,true
Bookmarks bar,ChatGPT - QiOne_Mono_Repo,https://chatgpt.com/g/g-p-699d13d2e86c819184a5d7cd01119eec-qione-mono-repo/c/69fdb9df-055c-83ea-8801-efa91ac5c89e,,,165,true
New folder,Survival Funds Exchange with Lisa (Mom) - NotebookLM,https://notebooklm.google.com/notebook/267f9e70-e8ba-4c50-950b-f06e8036b1ee,,,166,true
New folder,qisupabase | QiLabs | Supabase,https://supabase.com/dashboard/project/emnskvvajdlqixwzjfsm,,,167,true
New folder,AFFiNE — Open-Source Knowledge Base Software,https://affine.pro/,,,168,true
New folder,8 Best Connected Notes Apps (2026): Linked Note-Taking,https://www.atlasworkspace.ai/blog/connected-notes-apps,,,169,true
